sub_code;modality;Lab;DECODING_min_sf_so_uf_uo;DECODING_min_sf_so;DECODING_min_sl_sr_ul_ur;DECODING_min_sl_sr;ACTIVATION_min_sf_uf;ACTIVATION_min_so_uo;SYNCHRONY_min_seen;BASELINE_min_seen_unseen
CC102;fMRI;CC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
CC202;fMRI;CC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
CD101;fMRI;CD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
CD199;fMRI;CD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
